ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
2018-07-25 13:34:08.021095936,CteSDs2r8qCeXqdVgj,192.168.100.111,29930.0,220.97.27.72,19698.0,udp,-,-,-,-,S0,-,-,0.0,D,1.0,131.0,0.0,0.0,Benign
2019-02-28 20:01:05.027497984,CD1i401ASIZt82HJm3,192.168.1.193,30535.0,197.192.16.228,8081.0,tcp,-,0.000504,0,0,S0,-,-,0.0,S,8.0,320.0,0.0,0.0,PartOfAHorizontalPortScan
2018-12-20 20:23:57.024087808,COrfHE3jYTby0CJlwk,192.168.1.197,43746.0,212.227.43.17,8080.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Benign
2019-02-28 20:01:18.546269952,CpnIVc11Kizppq5c5e,192.168.1.193,30535.0,217.137.179.21,8081.0,tcp,-,5e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
2019-02-28 20:12:15.009257984,CQGfTq1z8NVQuKjrVf,192.168.1.193,30535.0,217.130.189.46,8081.0,tcp,-,5e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
2018-12-20 20:21:40.973436928,CclYUg1wUiuiZIMVvl,192.168.1.197,44002.0,197.150.218.89,52869.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
2019-02-28 18:17:38.027120128,Cwq08SRXPdLVNnPFd,192.168.1.200,55470.0,108.201.96.95,23.0,tcp,-,1e-06,0,0,S0,-,-,0.0,S,2.0,120.0,0.0,0.0,PartOfAHorizontalPortScan
2019-01-10 18:27:39.617443072,CEfmrr3sViXzwkaSj2,192.168.1.198,54836.0,185.133.46.194,52869.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
2019-03-08 12:26:20.983628032,CEo0vw4Ft4mONTJSaf,192.168.1.197,63420.0,110.62.229.28,23.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
2018-07-20 16:24:21.173113088,CfAQNX3xsnnPuD7QWi,192.168.100.108,5526.0,217.254.226.98,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
2019-02-28 19:26:01.057636864,CkFikf2fvNzn5HDydj,192.168.1.200,39846.0,148.68.119.66,23.0,tcp,-,3.1259900000000003,0,0,S0,-,-,0.0,S,6.0,360.0,0.0,0.0,PartOfAHorizontalPortScan
2019-03-08 12:36:55.060307968,C5ULKK2hV51hj4Y1Kd,192.168.1.197,63420.0,183.199.36.11,23.0,tcp,-,6e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
2018-12-21 14:50:26.683060992,CMSbue4shduhl9T7b1,192.168.1.196,47148.0,118.177.169.98,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
2018-07-20 16:05:04.232357888,C7bjgq1cm6Vi2Z4Ck4,192.168.100.108,5526.0,68.96.143.156,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
2018-07-25 13:40:00.008559104,CnadkQ3TU1ikS4HG74,192.168.100.111,28769.0,149.232.137.243,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
2018-12-21 15:18:28.042445824,COmgzy1p5sspWlL8I9,192.168.1.196,44580.0,81.45.62.171,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
2019-09-20 22:23:40.044108800,CwyQYA3R11y4vXxhd4,192.168.1.195,62265.0,162.248.88.215,62336.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,DDoS
2019-09-20 22:23:51.958526976,CmU2Rc4SDpDEvBCM87,192.168.1.195,15717.0,162.248.88.215,62336.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,DDoS
2018-09-06 09:46:46.306885120,Cn8P1Q1wUAeYAXOc03,192.168.100.111,17832.0,41.209.225.108,37215.0,tcp,-,6e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
2018-12-21 15:41:05.960534016,CrqwxKJZgzcI0zZxj,192.168.1.196,43216.0,37.142.67.40,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
2018-07-25 13:39:56.005592064,C2DvHn33gPekLcQvFh,192.168.100.111,21774.0,151.126.20.231,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
2019-09-20 22:23:44.712726016,CB7OUa0gC6iYrp042,192.168.1.195,20892.0,162.248.88.215,62336.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,DDoS
2019-02-28 20:03:35.881524992,CIn7c7qZBNw0uPyUj,192.168.1.193,30535.0,217.102.192.51,8081.0,tcp,-,5e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
2018-12-22 08:22:56.681648128,CWY3xI3kgbnM8HApp6,192.168.1.195,65279.0,123.59.209.185,80.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,DDoS
2018-12-20 20:17:10.183651072,CPS8Ih3M8gUHaMuIJi,192.168.1.197,44002.0,197.174.15.52,52869.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
2018-09-06 09:48:03.887671040,C2bqqn4M4QAy2dIdG2,192.168.100.111,18088.0,117.62.106.164,80.0,tcp,-,2e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
2018-12-21 15:06:32.122863104,CLDZj52bkqHNlka17a,192.168.1.196,53648.0,154.100.44.153,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,Benign
2019-09-20 22:23:38.132585984,C2q6lCBZpBhRJuP95,192.168.1.195,62110.0,162.248.88.215,62336.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,DDoS
2018-12-21 13:04:14.789273856,CkIDuu59R03J7ptM3,192.168.1.198,36097.0,201.69.85.142,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
2018-12-20 20:16:53.096653056,CgPK9CMpRPFzUviub,192.168.1.197,38114.0,109.70.149.249,8081.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
2019-01-10 18:26:40.710294016,CPKFEMd3JJVC2teN1,192.168.1.198,54580.0,144.148.138.159,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Benign
2019-01-10 18:26:51.738761984,CYqFcc2thnXfXKn1o5,192.168.1.198,54250.0,197.67.215.124,37215.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,Okiru
2018-07-25 13:46:24.006740992,CkPH2p3DlNwTSrfRL,192.168.100.111,32082.0,8.172.58.238,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
2018-09-06 09:56:41.010876928,CLseuS2yZoPF7txShk,192.168.100.111,17832.0,156.249.193.170,37215.0,tcp,-,0.00022999999999999998,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
2018-09-06 09:46:59.451097088,CVIgyWZXeVP13PcX1,192.168.100.111,17832.0,197.91.13.158,37215.0,tcp,-,5e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,Okiru
2018-07-25 13:59:55.008222208,CtW8lw3kaa7h0ZqOSg,192.168.100.111,23528.0,164.48.112.114,23.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan
2019-03-08 12:45:47.652009984,CeXonN3qXGoB2E5rll,192.168.1.197,63420.0,119.15.251.129,23.0,tcp,-,6e-06,0,0,S0,-,-,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan
